1,1,1,1,Milanesa
1,1,1,2,Milanesa
1,1,2,1,Milanesa
1,1,2,2,Milanesa
1,1,3,1,Omellette
1,1,3,2,Omellette
1,2,1,1,Pollo
1,2,1,2,Tarta
1,2,2,1,Pollo
1,2,2,2,Tarta
1,2,3,1,Pollo
1,2,3,2,Tarta
1,3,1,1,Pollo
1,3,1,2,Tarta
1,3,2,1,Pollo
1,3,2,2,Tarta
1,3,3,1,Pollo
1,3,3,2,Tarta
2,1,1,1,Omellette
2,1,1,2,Omellette
2,1,2,1,Omellette
2,1,2,2,Omellette
2,1,3,1,Omellette
2,1,3,2,Omellette
2,2,1,1,Pollo
2,2,1,2,Tarta
2,2,2,1,Pollo
2,2,2,2,Tarta
2,2,3,1,Pollo
2,2,3,2,Tarta
2,3,1,1,Pollo
2,3,1,2,Tarta
2,3,2,1,Pollo
2,3,2,2,Tarta
2,3,3,1,Pollo
2,3,3,2,Tarta
3,1,1,1,Omellette
3,1,1,2,Noquis
3,1,2,1,Omellette
3,1,2,2,Omellette
3,1,3,1,Omellette
3,1,3,2,Omellette
3,2,1,1,Pollo
3,2,1,2,Noquis
3,2,2,1,Pollo
3,2,2,2,Tarta
3,2,3,1,Pollo
3,2,3,2,Tarta
3,3,1,1,Pollo
3,3,1,2,Noquis
3,3,2,1,Pollo
3,3,2,2,Tarta
3,3,3,1,Pollo
3,3,3,2,Tarta
